OBJECTID,Name,Snippet,SWTORD,COMVAL_SQM,RESVAL_SQM,V_PER_SQMI,P_PER_SQMI,D_PER_SQMI,R_AVGYR,LUDIVERS,WE_CT,RCODEV,AUTOV,PCTR_GRCR,PCTR_PHARM,PCTR_BANK,PCTR_BUSST,DAYTRIPS,EVETRIPS,id,Neighborhoods__LENGTH,Neighborhoods__AREA,Shape_Length,Shape_Area
1,Abercromby,http://durhamhoods.com/neighborhoods/abercromby/,2.9,0,376052,0,233,0,1993,0,4,0,5,0,0,0,5.5,0,0,1,0.012323139,-8.87e-06,0.012323139,-8.87e-06
2,Albright,http://durhamhoods.com/neighborhoods/albright/,43.8,3447325,107499,322,613,341,1944,29.9,50,166,3,43.2,0,0,98.3,108,11,2,0.037148006,-4.09e-05,0.037148006,-4.09e-05
3,Amberlynn Valley,http://durhamhoods.com/neighborhoods/amberlynn-valley/,119.9,0,0,76,789,0,2006,3,0,0,0,0,0,0,88.9,0,0,3,0.014686074,-1.02e-05,0.014686074,-1.02e-05
4,American Village,http://durhamhoods.com/neighborhoods/american-village/,24.1,0,4256857,2,51,0,1991,0.8,3,2,1,0,0,0,37.9,27,11,4,0.061972206,-0.000116718,0.061972206,-0.000116718
5,Anderson St. / Wrightwood Park,http://durhamhoods.com/neighborhoods/anderson-st-wrightwood-park/,34.4,0,200464,29,66,18,1957,15.5,13,11,13,40.6,0,0,59.3,127,22,5,0.073555721,-0.000144373,0.073555721,-0.000144373
6,Ashley Forest,http://durhamhoods.com/neighborhoods/ashley-forest/,0,0,239052,0,8,0,1989,0,0,0,0,0,0,0,0,0,0,6,0.022264589,-3.12e-05,0.022264589,-3.12e-05
7,Auburn Hills,http://durhamhoods.com/neighborhoods/auburn-hills/,77.1,0,399981,0,32,0,2003,0,0,0,0,0,0,0,0,0,0,7,0.02586453,-3.21e-05,0.02586453,-3.21e-05
8,Auburn Park,http://durhamhoods.com/neighborhoods/auburn-park/,61.5,0,0,0,80,0,2002,0,2,0,0,0,0,0,0,0,0,8,0.010495085,-6.43e-06,0.010495085,-6.43e-06
9,Auburn Square,http://durhamhoods.com/neighborhoods/auburn-square/,24.9,0,0,36,182,0,2002,0,1,0,0,0,0,0,0,0,0,9,0.010525049,-7.12e-06,0.010525049,-7.12e-06
10,Audubon Park,http://durhamhoods.com/neighborhoods/audubon-park/,58.9,0,84199,0,28,0,1999,0.6,0,0,0,0,0,0,0,0,0,10,0.027340101,-4.61e-05,0.027340101,-4.61e-05
11,Barclay to Sandlewood,http://durhamhoods.com/neighborhoods/barclay-to-sandlewood/,0,0,121410,9,29,0,1970,5,0,0,0,0,0,0,0,26,0,11,0.043401394,-8.98e-05,0.043401394,-8.98e-05
12,Bent Creek / Woodberry Forest,http://durhamhoods.com/neighborhoods/bent-creek-woodberry-forest/,45.2,0,1078687,0,13,0,1981,6,3,0,0,0,0,0,0,22,0,12,0.047525257,-5.89e-05,0.047525257,-5.89e-05
13,Bluffs of the Eno,http://durhamhoods.com/neighborhoods/bluffs-of-the-eno/,0,0,347416,58,0,0,1991,0,4,0,0,0,0,0,0,0,0,13,0.00885647,-4.48e-06,0.00885647,-4.48e-06
14,Bon Air Avenue,http://durhamhoods.com/neighborhoods/bon-air-avenue/,11.2,0,1151494,0,208,0,1942,10.1,4,1,1,0,0,0,88.2,0,0,14,0.012670664,-4.98e-06,0.012670664,-4.98e-06
15,Brandon Ridge,http://durhamhoods.com/neighborhoods/brandon-ridge/,0,0,0,0,658,120,1986,3.3,0,0,0,0,0,0,100,0,0,15,0.009213054,-4.32e-06,0.009213054,-4.32e-06
16,Buck Crossing,http://durhamhoods.com/neighborhoods/buck-crossing/,73.6,0,478221,0,0,0,2001,12,0,0,0,0,0,0,0,0,0,16,0.014142588,-7.81e-06,0.014142588,-7.81e-06
